SMILES,logS,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
OC(=O)CCCCCCCC(O)=O,-1.89,2,2,8,0.666667,1.8863,47.5906,188.105,6.48637,344,10,50,48,5.97222,3.16667
CC1=CC2=C(C=CC=C2)C(C)=C1,-4.29,0,0,0,0,3.45664,53.422,156.094,6.50391,179,17,62,72,3.94444,2.63889
NC(N)=NC#N,-0.31,2,2,0,0,-1.25912,21.4228,84.0436,8.40436,32,3,20,18,3.61111,1.58333
OCC1OC(OCC2OC(OC(C#N)C3=CC=CC=C3)C(O)C(O)C2O)C(O)C(O)C1O,-0.77,12,7,7,0.205882,-3.10802,102.282,457.158,7.74845,3080,56,164,195,12.3333,7.25
ClC1=C(Cl)C(Cl)=C(Cl)C(=C1)C1=CC(Cl)=C(Cl)C(Cl)=C1Cl,-9.16,0,0,1,0.047619,8.5808,91.958,425.766,19.353,738,38,106,129,9.61111,4.33333
S1C=NC2=C1C=CC=C2,-1.5,2,0,0,0,2.2963,39.62,135.014,9.64388,79,9,46,53,1.97222,2.02778
C1CC2=CC=CC=C2N1,-1.04,1,1,0,0,1.6546,38.6357,119.073,6.61519,79,9,46,53,1.97222,2.02778
CC1=CCCCC1,-3.27,0,0,0,0,2.5067,32.225,96.0939,5.05757,42,5,30,31,2.36111,1.66667
CC(C)CC(C)CO,-1.6,1,1,3,0.428571,1.6609,35.7048,116.12,4.83834,71,6,30,29,4.72222,2
CN(C)C(=O)NC1=CC(OC(=O)NC(C)(C)C)=CC=C1,-2.93,3,2,2,0.1,2.667,78.0604,279.158,6.80874,918,24,96,103,9.36806,4.31944
CC(C)Br,-1.59,0,0,0,0,1.7897,24.063,121.973,11.0885,9,0,12,9,3.11111,1
OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1,-5.06,2,1,5,0.25,3.4011,73.0783,254.094,7.69983,808,25,92,103,6.30556,4.30556
CCCCCCCOC(=O)C1=CC=C(N)C=C1,-4.6,3,1,7,0.411765,3.396,69.8959,235.157,6.18835,666,19,74,79,6.08333,4.11111
CC1=CC=C2C=CC(C)=NC2=C1,-1.94,1,0,0,0,2.85164,51.217,157.089,6.82996,185,16,62,71,3.94444,2.61111
C=CCC=C,-2.09,0,0,2,0.5,1.7485,25.011,68.0626,5.23558,20,2,14,12,2.75,1.5
O1C=CC=C1,-0.82,1,0,0,0,1.2796,18.708,68.0262,7.55847,15,0,20,20,1.25,1.25
CSC1=NC=C2N=CC=NC2=N1,-1.76,5,0,1,0.0769231,1.1417,46.909,178.031,9.89063,190,16,60,69,3.33333,2.77778
C1C2=CC=CC=C2C2=C1C=CC=C2,-4.91,0,0,0,0,3.2578,54.684,166.078,7.22079,219,19,72,87,2.69444,2.83333
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,2,1,1,0.0384615,4.5153,91.8808,316.24,5.74982,1052,48,136,172,8.15278,4.75
CCCC(=O)C=C,-0.83,1,0,3,0.5,1.5416,30.112,98.0732,5.76901,50,5,24,23,3.86111,1.91667
CCC1CCCCC1,-4.25,0,0,1,0.125,2.9767,36.866,112.125,4.67188,64,7,34,36,2.61111,2
O=C1CCCO1,1.07,2,0,0,0,0.3234,20.193,86.0368,7.16973,26,2,26,27,2.11111,1.41667
CC12CC(O)C3C(CCC4CC(O)CCC34C)C1CCC2=O,-3.59,3,2,0,0,2.9299,84.1306,306.219,5.88884,887,47,132,168,7.90278,4.5
CCCC(=O)OC,-0.82,2,0,2,0.333333,0.9595,26.924,102.068,6.004,50,5,24,23,3.86111,1.91667
CCC1=CC2=C(C=C1)C=C1C=CC=CC1=C2,-6.89,0,0,1,0.0555556,4.5554,70.832,206.11,6.87032,420,25,86,102,4.05556,3.55556
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,-4.3,6,2,3,0.09375,2.3524,104.69,404.22,6.62656,2039,62,168,212,11.5764,6.02083
C1=CN=C(C=C1)C1=CC=CC=N1,-1.42,2,0,1,0.0769231,2.1436,47.468,156.069,7.80344,198,14,58,65,2.72222,2.77778
COC1=CC=C(C=CC)C=C1,-3.13,1,0,2,0.181818,2.7283,47.702,148.089,6.43864,170,12,48,52,3.97222,2.75
NC1=CC=C(Cl)C=C1,-1.66,1,1,0,0,1.9222,35.8644,127.019,9.07278,62,7,36,38,3.22222,1.83333
CCCOC(=O)CCC,-1.92,2,0,4,0.5,1.7397,36.158,130.099,5.65649,108,7,32,31,4.36111,2.41667
OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,0.64,6,5,2,0.166667,-3.2198,36.008,180.063,7.50264,180,19,60,72,6.14583,2.80556
CCCCCCOC(N)=O,-1.92,2,1,5,0.555556,1.662,39.6774,145.11,5.80441,158,7,36,34,4.61111,2.58333
CCNC1=NC(NC(C)C)=NC(Cl)=N1,-3.55,5,2,4,0.285714,1.7771,57.7594,215.094,7.68192,319,16,64,69,5.94444,3.25
CC(C)OC(=O)C(O)(C1=CC=C(Br)C=C1)C1=CC=C(Br)C=C1,-4.93,3,1,4,0.173913,4.3991,92.5108,425.947,11.2091,993,36,112,131,8.97917,4.83333
CC1CCC(C)CC1,-4.47,0,0,0,0,2.8326,36.796,112.125,4.67188,62,7,36,38,3.22222,1.83333
CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,-4.58,6,2,3,0.0857143,3.1546,118.377,444.251,6.53311,2777,68,186,233,13.6389,6.52083
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,4,1,3,0.272727,2.1609,47.9213,255.923,12.7961,185,18,56,63,7.73611,2.75
O[C@H]1CO[C@@H](O)[C@H](O)[C@H]1O,0.39,5,4,0,0,-2.5823,29.9792,150.053,7.50264,109,14,48,55,4.94444,2.25
CCC1(CCC(=O)NC1=O)C1=CC=CC=C1,-2.34,2,1,2,0.117647,1.771,60.7947,217.11,7.00356,401,27,82,98,5.64583,3.66667
CC(C)(C)C1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,-3.74,6,2,3,0.142857,2.2186,80.2719,312.071,8.66865,853,28,106,121,8.56944,4.125
O=C(C=CC=CC1=CC2=C(OCO2)C=C1)N1CCCCC1,-3.46,3,0,3,0.130435,2.9972,81.17,285.136,7.12841,1131,27,106,121,5.30556,4.72222
COP(=S)(OC)OC1=CC(Cl)=C(Br)C=C1Cl,-6.09,4,0,4,0.25,4.652,73.093,363.849,15.1604,434,24,78,89,7.75694,3.68056
BrC1CCCCC1,-2.3,0,0,0,0,2.714,35.8,162.004,9.00025,42,5,30,31,2.36111,1.66667
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C1CCC2=O,-3.48,3,0,0,0,3.2664,82.107,300.173,6.52549,887,47,132,168,7.90278,4.5
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,-6.96,4,0,14,0.5,6.433,113.619,390.277,5.91329,2388,38,124,137,10.6667,6.91667
OC(=O)C1=CC(I)=CC(I)=C1O,-3.31,2,2,1,0.0833333,2.2996,60.5001,389.825,24.3641,184,17,58,66,6.05556,2.66667
CC(C)CBr,-2.43,0,0,1,0.25,2.0373,28.632,135.989,9.71348,18,2,16,14,3.36111,1.33333
ClC1=CC=CC(=C1Cl)C1=C(Cl)C(Cl)=C(Cl)C=C1,-7.05,0,0,1,0.0555556,6.6206,76.928,323.883,14.722,484,29,88,105,7.02778,3.75
OC(=O)C1=CC=CC=C1C1=C(C=CC=C1)C(O)=O,-2.28,2,2,3,0.157895,2.75,65.7966,242.058,8.64493,563,28,90,105,6.66667,4.05556
CN1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1,-1.91,4,1,4,0.173913,1.9309,79.9558,289.168,6.572,959,32,110,130,6.52778,4.69444
NC1=CC=C(C=C1)N(=O)=O,-2.37,3,1,1,0.1,1.177,37.5088,138.043,8.62768,120,11,46,50,4.33333,2.27778
ClC=CCl,-1.3,0,0,0,0,1.9352,20.846,95.9534,15.9922,10,1,10,8,2.5,1.25
COC1=CC=CC=C1O,-1.96,2,1,1,0.111111,1.4008,34.6588,124.052,7.2972,86,10,40,44,3.47222,2.19444
CCCCCCCCCCCCCCC(O)=O,-4.31,1,1,13,0.8125,5.1622,73.3308,242.225,5.15371,802,14,64,62,6.36111,4.33333
ClC1=CC=C(Br)C=C1,-3.63,0,0,0,0,3.1025,39.152,189.918,15.8265,62,7,36,38,3.22222,1.83333
CC=CC=O,0.32,1,0,1,0.25,0.7614,20.878,70.0419,6.36744,20,2,14,12,2.75,1.5
CCC(C)=O,0.52,1,0,1,0.25,0.9854,20.972,72.0575,5.54289,18,2,16,14,3.36111,1.33333
CC(C)(C)CCCO,-1.55,1,1,2,0.285714,1.805,35.7748,116.12,4.83834,71,5,32,30,4.8125,1.875
S=C=NC1=CC=CC2=C1C=CC=C2,-4.6,2,0,1,0.0714286,3.5741,58.634,185.03,9.2515,236,18,64,74,3.58333,3.05556
COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl,-6.89,2,0,4,0.181818,5.2059,88.121,344.014,9.55594,932,32,106,122,8.11806,4.72222
CC(C)(C)COC(N)=O,-0.8,2,1,1,0.125,1.1278,34.9904,131.095,5.95885,98,6,38,36,5.67361,1.95833
COC1=CC=CC=C1,-1.85,1,0,1,0.125,1.6952,32.994,108.058,6.75359,64,7,34,36,2.61111,2
ClC1=CC=CC=C1C1=CC=CC=C1Cl,-5.27,0,0,1,0.0666667,4.6604,61.898,222,10.0909,287,20,70,81,4.44444,3.16667
CC1=CC2=C(C=C1)N=C(S2)C1=CC=C(N)C=C1,-3.68,3,1,1,0.0526316,3.85392,74.2054,240.072,8.27835,525,24,92,108,4.91667,3.63889
CC1=CNC2=C1C=CC=C2,-2.42,0,1,0,0,2.47632,43.0357,131.073,6.89861,106,12,52,61,2.83333,2.22222
ClC1=CC(Cl)=C(C(Cl)=C1)C1=C(Cl)C=CC=C1Cl,-7.32,0,0,1,0.0555556,6.6206,76.928,323.883,14.722,470,28,88,104,7.02778,3.72222
O=C1NC=CC(=O)N1,-1.48,2,2,0,0,-0.9368,27.6834,112.027,9.33561,61,7,36,38,3.22222,1.83333
OC1=CC=C(Cl)C=C1C(=O)NC1=CC=C(C=C1Cl)N(=O)=O,-4.7,4,2,3,0.136364,3.8595,79.1764,325.986,11.2409,980,32,106,122,8.63889,4.61111
C1CCNC1,1.15,1,1,0,0,0.3698,22.1037,71.0735,5.07668,15,0,20,20,1.25,1.25
CCCCOC(N)=O,-0.66,2,1,3,0.428571,0.8818,30.4434,117.079,6.16205,79,5,28,26,4.11111,2.08333
CCCCCCCCO,-2.39,1,1,6,0.75,2.3392,40.4618,130.136,4.81984,120,6,30,28,3.75,2.5
ClC1=CC=C(C=C1)C1=CC=CC(Cl)=C1Cl,-6.26,0,0,1,0.0625,5.3138,66.908,255.961,11.6346,360,22,76,88,5.30556,3.33333
ClC1=CC=CC2=C1C=CC=C2,-3.93,0,0,0,0,3.4932,48.958,162.024,9.00131,140,15,56,65,3.08333,2.47222
COC1=CC=C(OC2=CC=C(NC(=O)N(C)C)C=C2)C=C1,-4.16,3,1,4,0.181818,3.581,82.2157,286.132,7.33671,1118,28,102,114,7.41667,4.77778
C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,-5.26,0,0,0,0,3.993,61.454,178.078,7.41993,271,22,76,91,2.94444,3.08333
ON=CC1=CC=C(O1)N(=O)=O,-2.19,5,1,2,0.181818,0.9959,34.7429,156.017,10.4011,165,11,50,55,4.58333,2.61111
CCN(CC)C(=S)SCC(Cl)=C,-3.39,2,0,4,0.363636,3.0988,62.97,223.026,8.57791,224,13,48,50,6.33333,3.02778
CCCCC1=CC=CC=C1,-4.06,0,0,3,0.3,3.0292,45.054,134.11,5.5879,133,9,42,44,3.11111,2.5
C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.89,2,0,0,0,2.3451,70.021,234.21,5.44673,458,30,98,120,3.41667,3.61111
CC(C)N(C(=O)CCl)C1=CC=CC=C1,-2.48,1,0,3,0.214286,2.6668,59.784,211.076,7.53844,296,19,64,72,5.94444,3.33333
CCCCCCCI,-4.81,0,0,5,0.714286,3.3918,47.646,226.022,9.82704,84,5,26,24,3.5,2.25
ClC(Br)Br,-1.9,0,0,0,0,2.2986,27.495,205.813,41.1627,9,0,12,9,3.11111,1
CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,-2.34,3,2,2,0.111111,0.7004,60.0924,232.085,8.00292,458,31,88,107,6.50694,3.875
CC(C)CC(C)C,-4.26,0,0,2,0.333333,2.6885,34.293,100.125,4.35327,48,4,26,24,4.47222,1.66667
OCC(O)CO,1.12,3,3,2,0.4,-1.6681,20.1784,92.0473,6.57481,31,4,20,19,3.61111,1.66667
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,-0.5,17,13,10,0.238095,-8.4242,131.426,585.286,7.05164,5207,74,206,247,17.3889,9.02778
COC(=O)C1=CC=C(OC)C=C1,-2.41,3,0,2,0.166667,1.4818,44.3335,166.063,7.54832,210,15,54,60,4.83333,2.94444
NC1=CC=CC(=C1)C(F)(F)F,-1.47,1,1,0,0,2.2876,35.8564,161.045,9.47325,148,13,54,59,5.28472,2.33333
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1,-3.68,4,2,3,0.136364,1.77392,80.0732,311.13,7.40787,1014,31,104,116,7.50694,4.625
O=C1CNC(=O)CN1,-0.83,2,2,0,0,-1.7676,26.0194,114.043,8.14592,62,7,36,38,3.22222,1.83333
CCSCC1=CC=CC=C1OC(=O)NC,-2.09,3,1,4,0.266667,2.6579,63.3617,225.082,7.50274,396,18,66,72,5.58333,3.69444
CCCC(Cl)Cl,-2.4,0,0,2,0.4,2.5902,30.402,126,9.00002,32,3,20,18,3.61111,1.58333
CC1=CC(N)=NC(C)=N1,-1.28,3,1,0,0,0.67564,35.9184,123.08,6.83776,84,9,42,45,4.08333,2
OC(=O)CCCCC(O)=O,-0.82,2,2,5,0.555556,0.716,33.7396,146.058,7.3029,151,7,38,36,5.22222,2.41667
CC1=CC(Br)=CC=C1,-3.52,0,0,0,0,2.75752,38.879,169.973,11.3315,61,7,36,38,3.22222,1.83333
OC1=C(I)C=C(C=C1I)C#N,-3.61,2,1,0,0,2.47308,58.2558,370.83,26.4879,148,15,52,59,5.19444,2.55556
S1C=CC=C1,-1.45,1,0,0,0,1.7481,24.319,84.0034,9.33371,15,0,20,20,1.25,1.25
C1=CC2=C(C=C1)C1=C(C=CC=C1)N=C2,-2.78,1,0,0,0,3.388,59.249,179.073,7.7858,271,22,76,91,2.94444,3.08333
CCCC(C)C,-3.74,0,0,2,0.4,2.4425,29.746,86.1096,4.30548,32,3,20,18,3.61111,1.58333
OC(=O)COC1=CC(Cl)=C(Cl)C=C1Cl,-2.96,2,1,3,0.214286,3.1102,54.6028,253.93,13.3648,318,18,66,73,6.55556,3.13889
CC1=NC2=C(N1)C=CC=C2,-1.96,1,1,0,0,1.87132,40.8307,132.069,7.33715,108,11,52,60,2.83333,2.19444
N1C=CC=C1,-0.17,0,1,0,0,1.0147,20.7927,67.0422,6.70422,15,0,20,20,1.25,1.25
OCC1OC(O)C(O)C(O)C1O,0.74,6,5,1,0.0833333,-3.2214,35.986,180.063,7.50264,182,19,58,68,6.05556,2.77778
OC1CC(O)C(O)C(O)C1O,-0.17,5,5,0,0,-2.8054,34.651,164.068,7.13341,140,17,54,63,5.80556,2.44444
ClC1=CC(Cl)=CC=C1,-3.04,0,0,0,0,2.9934,36.462,145.969,12.1641,61,7,36,38,3.22222,1.83333
CCC1=CC=CC=C1O,-1.36,1,1,1,0.111111,1.9546,37.4848,122.073,6.4249,86,10,40,44,3.47222,2.19444
OC1=CC=NC=C1,1.02,2,1,0,0,0.7872,25.9018,95.0371,7.91976,42,5,30,31,2.36111,1.66667
ClC1=CC(Cl)=C(C(Cl)=C1)C1=CC=CC=C1,-6.14,0,0,1,0.0625,5.3138,66.908,255.961,11.6346,348,22,76,88,5.30556,3.33333
OC1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C#N)CC1,-3.98,5,1,4,0.137931,4.00778,105.026,365.156,7.45217,1719,42,138,163,6.88889,5.77778
CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,-1.78,5,3,3,0.2,1.3702,52.0099,212.068,7.85439,384,21,70,79,6.80556,3.5
IC=CI,-3.22,0,0,0,0,2.3276,37.18,279.825,46.6374,10,1,10,8,2.5,1.25
ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-6.32,0,0,0,0,5.2415,76.098,369.821,16.81,388,42,108,148,8.24306,3.375
ClC1=CC=CC(=C1Cl)C1=C(Cl)C(Cl)=CC(Cl)=C1Cl,-8.6,0,0,1,0.0526316,7.274,81.938,357.844,16.2657,543,32,94,113,7.88889,3.94444
ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl,-4.19,4,2,6,0.272727,1.4886,89.7014,431.925,11.9979,1093,33,108,122,10.5694,4.88889
FC1=CC=C(F)C=C1,-1.97,0,0,0,0,1.9648,26.358,114.028,9.50234,62,7,36,38,3.22222,1.83333
CCCCCC(=O)OCC,-2.31,2,0,5,0.555556,2.1298,40.775,144.115,5.54289,150,8,36,35,4.61111,2.66667
CCCN(=O)=O,-0.8,2,0,2,0.4,0.6731,22.1524,89.0477,6.84982,32,3,20,18,3.61111,1.58333
CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C(Cl)=CC=C1O)C3(C)O,-2.88,9,6,2,0.0555556,0.439,114.551,478.114,8.53776,2546,79,192,247,15.5417,6.86111
ClC1=CC(Cl)=C(Cl)C(Cl)=C1C1=C(Cl)C=CC=C1,-7.43,0,0,1,0.0555556,6.6206,76.928,323.883,14.722,472,29,88,105,7.02778,3.75
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,8,0,12,0.666667,5.0053,95.123,383.988,9.36555,792,24,82,88,8.875,4.75
CC1=C(N)C=CC=C1,-0.85,1,1,0,0,1.57722,35.5914,107.073,6.29844,60,8,36,39,3.22222,1.86111
NC1=CC=CC=C1,-0.41,1,1,0,0,1.2688,30.8544,93.0578,6.64699,42,5,30,31,2.36111,1.66667
O=C(CN1C=CN=C1N(=O)=O)NCC1=CC=CC=C1,-2.81,5,1,5,0.25,1.1077,67.1701,260.091,8.39003,806,23,92,103,6.30556,4.30556
ClC=C(Cl)Cl,-1.96,0,0,0,0,2.5017,25.642,129.914,21.6524,18,2,16,14,3.36111,1.33333
ClC1=CC=C(C=C1Cl)C1=CC=CC=C1Cl,-6.29,0,0,1,0.0625,5.3138,66.908,255.961,11.6346,358,22,76,88,5.30556,3.33333
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64,3,2,4,0.266667,0.939,53.9304,212.116,6.84245,346,25,72,85,6.89583,3.58333
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.91,0,0,1,0.111111,4.7574,49.17,257.813,25.7813,121,12,42,45,6.44444,2.33333
SC1=CC=CC=C1,-2.12,1,1,0,0,1.9753,33.694,110.019,8.463,42,5,30,31,2.36111,1.66667
NC1=CC=CC=C1C(O)=O,-1.52,2,2,1,0.1,0.967,37.8137,137.048,8.06163,114,12,46,51,4.33333,2.30556
CCC(C)O,0.43,1,1,1,0.25,0.7772,21.9718,74.0732,4.93821,18,2,16,14,3.36111,1.33333
CCC1=CC=CC=C1C,-3.21,0,0,1,0.111111,2.55742,40.557,120.094,5.71876,86,10,40,44,3.47222,2.19444
CC(O)=O,1.22,1,1,0,0,0.0909,13.3098,60.0211,7.50264,9,0,12,9,3.11111,1
CN(C)C(C)=O,1.11,1,0,0,0,0.0945,24.368,87.0684,5.80456,29,4,22,21,4.22222,1.44444
OC1=CC=C2N=CC=CC2=C1,-2.16,2,1,0,0,1.9404,43.4078,145.053,8.05849,144,14,56,64,3.08333,2.44444
CCCC(CCC)C(O)=O,-1.86,1,1,5,0.555556,2.2874,40.9418,144.115,5.54289,131,10,38,39,5.22222,2.61111
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,-2.23,5,0,3,0.125,1.8677,80.3415,303.147,7.04993,1021,36,116,139,7.38889,4.91667
CCOC(=O)C(C1=C(O)C2=CC=CC=C2OC1=O)C1=C(O)C2=CC=CC=C2OC1=O,-3.66,8,2,4,0.121212,3.0056,106.774,408.085,8.8714,2154,57,162,198,10.3333,6.63889
BrC1=CC=CC=C1Br,-3.5,0,0,0,0,3.2116,41.842,233.868,19.489,60,8,36,39,3.22222,1.86111
CC(C)C1CCC(C)CC1O,-2.53,1,1,1,0.0909091,2.4395,47.3498,156.151,5.03714,150,14,52,58,5.19444,2.47222
CC1(C)C(CCC1(C)C(O)=O)C(O)=O,-1.42,2,2,2,0.142857,1.5981,49.8836,200.105,6.67016,264,26,74,91,7.95833,2.96528
OCCCC1=CC=CC=C1,-1.38,1,1,3,0.3,1.6115,41.8488,136.089,6.18586,133,9,42,44,3.11111,2.5
CC1C2CCC3(C)C=CC(=O)C(C)=C3C2OC1=O,-3.09,3,0,0,0,2.4196,66.722,246.126,6.83682,512,35,104,130,7.09028,3.75
CCC(C)CC,-3.68,0,0,2,0.4,2.4425,29.746,86.1096,4.30548,31,4,20,19,3.61111,1.66667
COC=O,0.58,2,0,1,0.333333,-0.2108,13.073,60.0211,7.50264,10,1,10,8,2.5,1.25
CCOP(=S)(OCC)SCSC1=CC=C(Cl)C=C1,-5.74,5,0,8,0.444444,5.4203,87.304,341.974,10.0581,708,22,82,89,7.03472,4.29167
ClCCCl,-1.06,0,0,1,0.333333,1.464,21.44,97.969,12.2461,10,1,10,8,2.5,1.25
NS(=O)(=O)C1=CC2=C(C=C1Cl)N=CNS2(=O)=O,-3.05,5,2,1,0.0555556,-0.0609,61.2987,294.949,12.8239,460,29,94,111,7.81944,3.43056
CC(C)(C)CO,-0.4,1,1,0,0,1.0248,26.5408,88.0888,4.89382,28,3,24,22,4.3125,1.375
CN1N(C(=O)C=C1C)C1=CC=CC=C1,0.39,3,0,1,0.0666667,1.48442,55.747,188.095,7.23442,284,20,72,85,5.05556,3.11111
CN(C)CCC=C1C2=C(COC3=C1C=CC=C3)C=CC=C2,-3.4,2,0,3,0.130435,3.9624,87.466,279.162,6.64672,882,35,108,126,5.91667,4.69444
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,-3.39,3,2,5,0.277778,1.78302,69.8072,270.104,7.50288,685,23,84,92,7.64583,4.125
CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2=O,-3.96,2,1,0,0,3.8174,77.7308,270.162,6.43243,724,39,118,148,6.09028,4.15278
C1=CC2=C(C=C1)C1=C(C=CC=C1)C1=C2C=CC=C1,-6.74,0,0,0,0,5.1462,78.96,228.094,7.60313,513,33,102,126,3.66667,3.91667
CC1=CC=C(C=C1)N(=O)=O,-2.49,2,0,1,0.1,1.90322,37.8334,137.048,8.06163,120,11,46,50,4.33333,2.27778
CC(Cl)CCl,-1.6,0,0,1,0.25,1.8525,26.035,111.985,10.1804,18,2,16,14,3.36111,1.33333
O=C1NC=NC=C1,0.59,2,1,0,0,-0.2301,24.8577,96.0324,8.73021,42,5,30,31,2.36111,1.66667
CCC(C)Cl,-1.96,0,0,1,0.25,2.0237,25.606,92.0393,6.57423,18,2,16,14,3.36111,1.33333
CC1CCCO1,0.11,1,0,0,0,1.1853,24.648,86.0732,5.37957,26,2,26,27,2.11111,1.41667
O=C1CCCCC1,-0.6,1,0,0,0,1.5196,28.092,98.0732,5.76901,42,5,30,31,2.36111,1.66667
C1=CC2=CC=CC3=C2C1=CC=C3,-3.96,0,0,0,0,3.3236,52.876,152.063,7.60313,166,18,68,83,2.44444,2.58333
OC1=CC=CC=C1,0,1,1,0,0,1.3922,28.1068,94.0419,7.23399,42,5,30,31,2.36111,1.66667
ClC1=CC=C(C(Cl)=C1)C1=CC=CC=C1,-5.25,0,0,1,0.0666667,4.6604,61.898,222,10.0909,298,19,70,80,4.44444,3.13889
NC(=N)NN(=O)=O,-1.37,3,3,1,0.166667,-1.33883,22.0442,104.033,9.45758,48,4,26,24,4.47222,1.66667
OCCOC1=CC=CC=C1,-0.71,2,1,3,0.3,1.0577,39.0228,138.068,6.9034,133,9,42,44,3.11111,2.5
NC1=CC=CC2=C1C=CC=C2,-1.92,1,1,0,0,2.422,48.3604,143.073,7.15367,140,15,56,65,3.08333,2.47222
CC1=CC=C(C)C(C)=C1,-3.31,0,0,0,0,2.61186,40.653,120.094,5.71876,84,10,42,46,4.08333,2.02778
CN(C)NC(=O)CCC(O)=O,-0.2,3,2,4,0.4,-0.556,38.6995,160.085,6.96021,184,9,44,43,6.08333,2.58333
CCOP(=S)(OCC)SCSCC,-4.11,5,0,8,0.666667,3.7277,68.127,260.013,8.66709,280,14,52,54,6.0625,3.375
CCOC=O,0.15,2,0,2,0.5,0.1793,17.69,74.0368,6.73062,20,2,14,12,2.75,1.5
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,-3.76,2,0,1,0.0454545,3.1538,81.81,284.072,8.60823,726,36,106,126,6.27778,4.38889
OC(C1CC2CCN1CC2C=C)C1=CC=NC2=C1C=CC=C2,-3.07,3,1,3,0.12,3.1646,88.4748,294.173,6.68575,1005,38,122,149,5.88889,4.83333
ClCC(Cl)CCl,-1.92,0,0,2,0.4,2.0714,31.081,145.946,13.2678,31,4,20,19,3.61111,1.66667
ClCCCBr,-1.85,0,0,2,0.5,2.0102,29.131,155.934,14.1758,20,2,14,12,2.75,1.5
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,-4.2,6,1,10,0.434783,3.7726,100.816,397.061,8.4481,1358,30,110,120,10.2083,5.08333
FC(F)(Cl)C(F)(F)Cl,-3.12,0,0,1,0.142857,2.6496,21.6,169.931,21.2414,58,9,38,40,6.125,1.5625
CCCC(C)Cl,-2.63,0,0,2,0.4,2.4138,30.223,106.055,6.23853,32,3,20,18,3.61111,1.58333
CC1(C)N(Cl)C(=O)N(Cl)C1=O,-2.6,2,0,0,0,1.3368,39.866,195.981,11.5283,132,19,58,71,6.50694,2.33333
COP(=S)(OC)OC1=CC(Cl)=C(Cl)C=C1Cl,-5.72,4,0,4,0.25,4.5429,70.403,319.9,13.3292,434,24,78,89,7.75694,3.68056
CCOP(=S)(OCC)OC1=CC=C(C=C1)N(=O)=O,-4.29,6,0,7,0.388889,3.2711,71.2614,291.033,9.09478,661,24,84,93,7.64583,4.23611
CC(O)C(N)C(O)=O,-0.09,3,3,2,0.285714,-1.2209,27.292,119.058,7.00343,65,8,32,33,5.33333,1.88889
OC1CCCCC1,-0.44,1,1,0,0,1.3114,29.0918,100.089,5.26783,42,5,30,31,2.36111,1.66667
O=C(NC1=CC=CC=C1)NC1=CC=CC=C1,-3.15,1,2,2,0.117647,3.3306,65.5254,212.095,7.57482,495,18,76,83,4.33333,3.66667
CC(C)C(O)C(C)C,-1.22,1,1,2,0.285714,1.6593,35.6828,116.12,4.83834,65,8,32,33,5.33333,1.88889
CCNC1=CC=CC=C1,-1.7,1,1,2,0.222222,2.1184,40.6057,121.089,6.05446,94,8,38,40,2.86111,2.25
